Generic Part Number	Device Description	Marketing Status	Literature Number	Literature Description
ADS9224R	16-bit, 3-MSPS, dual-channel, simultaneous-sampling SAR ADC with internal reference and enhanced SPI	ACTIVE	SBAM389	ADS9224R TINA-TI Transient Spice Model
ADS9234R	14-bit, 3.5-MSPS, dual, simultaneous-sampling SAR ADC with internal reference and enhanced SPI	ACTIVE	SBAM389	ADS9224R TINA-TI Transient Spice Model
AFE030	1000mA, integrated, powerline communications (PLC) analog front-end for driving low-impedance lin	ACTIVE	SBOM841	TINA Simulation Schematic - Two-node PLC System
AFE031	1500mA, integrated, powerline communications (PLC) analog front-end for driving low-impedance lin	ACTIVE	SBOM841	TINA Simulation Schematic - Two-node PLC System
AFE5803	Fully Integrated, 8-Channel Ultrasound Analog Front End	ACTIVE	SLOM288	AFE5803 TINA-TI Spice Model
AFE5807	8-channel analog front end with passive CW mixer for ultrasound	ACTIVE	SLOM274	AFE5807 TINA-TI Spice Model
AFE5807	8-channel analog front end with passive CW mixer for ultrasound	ACTIVE	SLOM276	AFE5807 TINA-TI Transient Spice Model
AFE5808	8-channel low noise analog front end with passive CW mixer for ultrasound	ACTIVE	SLOM284	AFE5808 TINA-TI Spice Model
AFE5808	8-channel low noise analog front end with passive CW mixer for ultrasound	ACTIVE	SLOM286	AFE5808 TINA-TI Transient Spice Model
AFE5808A	Fully-Integrated, 8-Channel Ultrasound Analog Front End With Passive CW Mixer	ACTIVE	SLOM277	AFE5808A TINA-TI Transient Spice Model
AFE5808A	Fully-Integrated, 8-Channel Ultrasound Analog Front End With Passive CW Mixer	ACTIVE	SLOM280	AFE5808A TINA-TI Spice Model
AFE5809	Fully-Integrated, 8-Ch Ultrasound Analog Front End w/ Passive CW Mixer and Digital I/Q Demodulation	ACTIVE	SLOM332	AFE5809 TINA-TI Transient Spice Model
AFE5809	Fully-Integrated, 8-Ch Ultrasound Analog Front End w/ Passive CW Mixer and Digital I/Q Demodulation	ACTIVE	SLOM336	AFE5809 TINA-TI Spice Model
AFE5828	16-Ch Ultrasound AFE With 102mW/Ch Power, LVDS Interface, and Passive CW Mixer	ACTIVE	SBAM371B	AFE5828_TGC TINA-TI Spice Model (Rev. B)
AFE5828	16-Ch Ultrasound AFE With 102mW/Ch Power, LVDS Interface, and Passive CW Mixer	ACTIVE	SBAM374B	AFE5828_CW TINA-TI Spice Model (Rev. B)
ALM2402-Q1	Dual operational amplifier with high current output	ACTIVE	SLOM386D	ALM2402-Q1 TINA-TI Spice Model (Rev. D)
ALM2402F-Q1	High output current operational amplifier for automotive, dual channel	ACTIVE	SBOMB15B	ALM2402FQ TINA-TI SPICE Model (Rev. B)
ALM2403-Q1	Automotive, dual-channel, high-voltage, power op amp with low distortion for resolver applications	ACTIVE	SBOMBJ3A	ALM2403-Q1 TINA-TI Spice Model (Rev. A)
AMC1100	±250 mV-Input, Low-Cost Basic Isolated Amplifier for Current Sensing	ACTIVE	SBAM154	AMC1100 TINA-TI Spice Model
AMC1200	±250-mV-input basic isolated amplifier for current sensing	ACTIVE	SBAM097	AMC1200 TINA-TI Spice Model
AMC1200-Q1	Automotive ±250-mV-input basic isolated amplifier for current sensing	ACTIVE	SBAM097	AMC1200 TINA-TI Spice Model
AMC1300	±250-mV input, reinforced isolated amplifier with high CMTI for current sensing	ACTIVE	SBAM398	AMC1300 TINA-TI SPICE Model
AMC1300	±250-mV input, reinforced isolated amplifier with high CMTI for current sensing	ACTIVE	SBAM448	AMC13xx TINA-TI SPICE Model for Isolated Voltage-Measurement Circuit
AMC1300B-Q1	Automotive ±250-mV input, reinforced isolated amplifier with high CMTI for current sensing	ACTIVE	SBAM448	AMC13xx TINA-TI SPICE Model for Isolated Voltage-Measurement Circuit
AMC1301	±250 mV-Input Precision Reinforced Isolated Amplifier for Current Sensing	ACTIVE	SBAM272A	AMC1301 TINA-TI SPICE Model (Rev. A)
AMC1301	±250 mV-Input Precision Reinforced Isolated Amplifier for Current Sensing	ACTIVE	SBAM448	AMC13xx TINA-TI SPICE Model for Isolated Voltage-Measurement Circuit
AMC1301-Q1	Automotive Precision ±250mV-Input 3µs-Delay Reinforced Isolated Amplifier	ACTIVE	SBAM272A	AMC1301 TINA-TI SPICE Model (Rev. A)
AMC1301-Q1	Automotive Precision ±250mV-Input 3µs-Delay Reinforced Isolated Amplifier	ACTIVE	SBAM448	AMC13xx TINA-TI SPICE Model for Isolated Voltage-Measurement Circuit
AMC1302	±50-mV-input, high-precision, reinforced isolated amplifier for current sensing	ACTIVE	SBAM396	AMC1302 TINA-TI Spice Model
AMC1311	2-V input, reinforced isolated amplifier with high CMTI for voltage sensing	ACTIVE	SBAM367A	AMC1311 TINA-TI Spice Model (Rev. A)
AMC3302	±50-mV input, precision reinforced isolated amplifier with integrated DC/DC converter	ACTIVE	SBAM444	AMC3302 TINA-TI SPICE Model
AMC3330	±1-V input, precision reinforced isolated amplifier with integrated DC/DC converter and high CMTI	ACTIVE	SBAM446	AMC3330 and AMC3330-Q1 TINA-TI Spice Model
AMC3330-Q1	Automotive ±1-V input, precision reinforced isolated amplifier with integrated DC/DC converter	ACTIVE	SBAM446	AMC3330 and AMC3330-Q1 TINA-TI Spice Model
