Designator,Mid X,Mid Y,Rotation,Layer
SW29,254.975,-104.575,0.0,bottom
SW3,350.225,-180.775,0.0,bottom
SW30,264.5,-123.625,0.0,bottom
SW31,254.975,-80.525,0.0,bottom
SW32,274.025,-104.575,0.0,bottom
SW33,235.925,-161.725,0.0,bottom
SW34,231.1625,-142.675,0.0,bottom
SW35,245.45,-123.625,0.0,bottom
SW36,235.925,-80.525,0.0,bottom
SW37,235.925,-104.575,0.0,bottom
SW38,216.875,-80.525,0.0,bottom
SW39,216.875,-104.575,0.0,bottom
SW4,369.275,-180.775,0.0,bottom
SW40,226.4,-123.625,0.0,bottom
SW41,216.875,-161.725,0.0,bottom
SW42,204.96875,-180.775,0.0,bottom
SW43,212.1125,-142.675,0.0,bottom
SW44,197.825,-161.725,0.0,bottom
SW45,193.0625,-142.675,0.0,bottom
SW46,207.35,-123.625,0.0,bottom
SW47,197.825,-104.575,0.0,bottom
SW48,197.825,-80.525,0.0,bottom
SW49,178.775,-161.725,0.0,bottom
SW5,369.275,-80.525,0.0,bottom
SW50,174.0125,-142.675,0.0,bottom
SW51,188.3,-123.625,0.0,bottom
SW52,178.775,-104.575,0.0,bottom
SW53,169.25,-80.525,0.0,bottom
SW54,150.2,-80.525,0.0,bottom
SW55,159.725,-104.575,0.0,bottom
SW56,169.25,-123.625,0.0,bottom
SW57,159.725,-161.725,0.0,bottom
SW58,140.675,-161.725,0.0,bottom
SW59,154.9625,-142.675,0.0,bottom
SW6,340.7,-80.525,0.0,bottom
SW60,135.9125,-142.675,0.0,bottom
SW61,131.15,-123.625,0.0,bottom
SW62,131.15,-80.525,0.0,bottom
SW63,140.675,-104.575,0.0,bottom
SW64,150.2,-123.625,0.0,bottom
SW65,109.71875,-180.775,0.0,bottom
SW66,121.625,-161.725,0.0,bottom
SW67,116.8625,-142.675,0.0,bottom
SW68,133.53125,-180.775,0.0,bottom
SW69,121.625,-104.575,0.0,bottom
SW7,340.7,-104.575,0.0,bottom
SW70,112.1,-123.625,0.0,bottom
SW71,102.575,-104.575,0.0,bottom
SW72,112.1,-80.525,0.0,bottom
SW73,85.90625,-180.775,0.0,bottom
SW74,93.05,-161.725,0.0,bottom
SW75,90.66875,-142.675,0.0,bottom
SW76,88.2875,-123.625,0.0,bottom
SW77,83.525,-104.575,0.0,bottom
SW78,83.525,-80.525,0.0,bottom
SW8,345.4625,-123.625,0.0,bottom
SW9,312.125,-180.775,0.0,bottom
T1,362.75,-135.75,270.0,bottom
T2,278.8,-135.75,270.0,bottom
T3,221.65,-135.75,270.0,bottom
T4,164.5,-135.75,270.0,bottom
T5,107.35,-135.75,270.0,bottom
U1,49.0,-173.8,180.0,bottom
U2,55.0,-95.0,0.0,bottom
U3,43.0,-105.0,90.0,bottom
U4,43.0,-95.0,270.0,bottom
U5,49.0,-81.0,270.0,bottom
U6,55.0,-105.0,0.0,bottom
